id	period	sum	category_id
1	01.01.2020	21000	3
2	01.01.2020	5000	4
3	01.02.2020	11000	3
4	01.02.2020	16000	4
5	01.03.2020	52000	3
6	01.03.2020	53000	4
7	01.04.2020	71000	3
8	01.04.2020	63000	4
9	01.05.2020	79000	3
10	01.05.2020	120000	4
11	01.06.2020	74000	3
12	01.06.2020	149000	4
13	01.07.2020	155000	3
14	01.07.2020	130000	4
15	01.08.2020	199000	3
16	01.08.2020	193000	4
17	01.09.2020	308000	3
18	01.09.2020	319000	4
19	01.10.2020	312000	3
20	01.10.2020	344000	4
21	01.11.2020	640000	3
22	01.11.2020	613000	4
23	01.12.2020	140000	3
24	01.12.2020	322000	4
25	01.01.2021	36000	3
26	01.01.2021	717000	4
27	01.02.2021	100000	3
28	01.02.2021	551000	4
29	01.03.2021	125000	3
30	01.03.2021	374000	4
31	01.04.2021	166000	3
32	01.04.2021	431000	4
33	01.05.2021	349000	3
34	01.05.2021	774000	4
35	01.06.2021	272000	3
36	01.06.2021	1133000	4
37	01.07.2021	274000	3
38	01.07.2021	830000	4
39	01.08.2021	396000	3
40	01.08.2021	1675000	4
41	01.09.2021	455000	3
42	01.09.2021	1745000	4
43	01.10.2021	1090000	3
44	01.10.2021	2557000	4
45	01.11.2021	1562000	3
46	01.11.2021	3597000	4
47	01.12.2021	572000	3
48	01.12.2021	751000	4
49	01.01.2022	67000	3
50	01.01.2022	345000	4
51	01.02.2022	124000	3
52	01.02.2022	453000	4
53	01.03.2022	248000	3
54	01.03.2022	529000	4
55	01.04.2022	428000	3
56	01.04.2022	1022000	4
57	01.05.2022	814000	3
58	01.05.2022	1385000	4
59	01.06.2022	1285000	3
60	01.06.2022	1177000	4
61	01.07.2022	214000	3
62	01.07.2022	1179000	4
